SID,WORD,POS,Context
524,racism,n.,The organization fights against racism and promotes equality for all.
525,racist,n.,He was labeled a racist after his controversial statements about immigration.
526,radiation,n.,Excessive exposure to radiation can be harmful to human health.
527,rail,n.,The country is investing in an advanced rail system for faster transportation.
528,random,adj.,The lottery numbers were drawn in a completely random order.
529,rat,n.,They saw a rat running across the kitchen floor and called pest control.
530,rating,n.,The movie received a high rating from critics and audiences alike.
531,reasonably,adv.,The hotel was reasonably priced considering its great location.
532,rebuild,v.,"After the earthquake, the city had to rebuild many of its homes and roads."
533,receiver,n.,He picked up the phone receiver and answered the call.
534,recession,n.,The country is struggling with high unemployment due to the economic recession.
535,reckon,v.,I reckon it will take us about two hours to get to the destination.
536,recognition,n.,Her hard work and dedication finally earned her the recognition she deserved.
537,recovery,n.,His recovery after the surgery was faster than expected.
538,recruit,v.,The company plans to recruit more employees next year.
539,recruit,n.,The new recruit quickly adapted to the company's work culture.
540,recruitment,n.,The recruitment process has been designed to be fair and transparent.
541,referee,n.,The referee made a controversial decision during the match.
542,refugee,n.,Thousands of refugees fled their country due to the ongoing war.
543,registration,n.,Registration for the new semester begins next Monday.
544,regulate,v.,The government introduced new laws to regulate online transactions.
545,reinforce,v.,The teacher used real-life examples to reinforce the lesson.
546,relieve,v.,The painkiller helped relieve her headache within minutes.
547,relieved,adj.,She was relieved to hear that her family was safe after the storm.
548,remarkable,adj.,He made a remarkable recovery after the accident.
549,remarkably,adv.,She performed remarkably well in her final exams.
550,reporting,n.,His job in journalism involves investigative reporting.
551,resign,v.,She decided to resign from her position due to personal reasons.
552,resolution,n.,The two parties reached a peaceful resolution after long negotiations.
553,restore,v.,The government plans to restore the historical building to its original state.
554,restrict,v.,They decided to restrict access to sensitive information.
555,restriction,n.,There are travel restrictions due to the ongoing pandemic.
556,retail,n.,Many small businesses in the retail sector struggled during the pandemic.
557,retirement,n.,He is looking forward to his retirement after working for 40 years.
558,revenue,n.,The company's annual revenue has increased by 20%.
559,revision,n.,He spent the weekend doing revision for his final exams.
560,ridiculous,adj.,The idea of flying cars seemed ridiculous a few decades ago.
561,risky,adj.,Investing in cryptocurrency can be quite risky.
562,rival,n.,Their biggest rival in the competition was a team from another country.
563,rival,adj.,Two rival companies are competing to release the latest smartphone technology.
564,rob,v.,The thieves planned to rob the bank at midnight.
565,robbery,n.,The police arrested three suspects involved in the robbery.
566,rocket,n.,The space agency successfully launched a rocket to Mars.
567,romance,n.,The novel is about a forbidden romance between two young lovers.
568,rose,n.,She received a beautiful red rose on Valentine's Day.
569,roughly,adv.,The journey took roughly three hours by car.
570,ruin,v.,The heavy rain ruined our outdoor picnic.
571,ruin,n.,They explored the ancient ruins of a lost civilization.
572,satisfaction,n.,She felt great satisfaction after completing the marathon.
573,scandal,n.,The political scandal caused public outrage.
574,scare,v.,The loud noise scared the children in the park.
575,scare,n.,There was a health scare due to contaminated water in the area.
576,scenario,n.,"In the worst-case scenario, the project might be delayed for months."
577,scholar,n.,The historian is a respected scholar in medieval studies.
578,scholarship,n.,She received a full scholarship to study at a prestigious university.
579,scratch,v.,The cat scratched the furniture with its sharp claws.
580,scratch,n.,He got a small scratch on his arm while hiking.
581,screening,n.,The airport security screening process took longer than expected.
582,seeker,n.,Job seekers should update their resumes frequently.
583,seminar,n.,She attended a seminar on digital marketing strategies.
584,settler,n.,The first settlers in the region built homes near the river.
585,severely,adv.,The storm severely damaged homes along the coast.
586,sexy,adj.,She wore a stylish and sexy dress to the party.
587,shaped,adj.,The cookies were shaped like stars and hearts.
588,shocking,adj.,The news of the accident was shocking to everyone.
589,shore,n.,"They walked along the shore, collecting seashells."
590,shortage,n.,There is a shortage of affordable housing in the city.
591,shortly,adv.,The train will be arriving shortly at platform three.
592,short-term,adj.,This is just a short-term solution; we need a long-term plan.
593,sibling,n.,"She has one sibling, an older brother."
594,signature,n.,Please provide your signature at the bottom of the form.
595,significance,n.,The discovery of the new species has great scientific significance.
596,skilled,adj.,He is a highly skilled surgeon with years of experience.
597,skull,n.,Archaeologists found an ancient human skull in the cave.
598,slogan,n.,"The company's slogan is ""Quality You Can Trust."""
599,so-called,adj.,The so-called expert failed to answer basic questions.
600,somehow,adv.,"Somehow, she managed to finish the project on time."
601,sometime,adv.,Let's meet for coffee sometime next week.
602,sophisticated,adj.,The software uses a sophisticated algorithm to analyze data.
603,spare,adj.,She always carries a spare key in her bag.
604,specialize,v.,"Many doctors specialize in a specific field of medicine, like cardiology or neurology."
605,specify,v.,Please specify your dietary preferences when booking the meal.
606,spectacular,adj.,The fireworks display was absolutely spectacular.
607,spectator,n.,Thousands of spectators attended the championship match.
608,speculate,v.,Analysts speculate that the economy will improve next year.
609,speculation,n.,There is a lot of speculation about who will win the election.
610,spice,n.,This dish has a unique blend of spices for extra flavor.
611,spill,v.,He accidentally spilled coffee on his laptop.
612,spite,n.,"In spite of the bad weather, they continued their journey."
613,spoil,v.,The food spoiled because it was left outside in the heat.
614,spokesman,n.,The company’s spokesman issued a statement about the incident.
615,spokesperson,n.,A spokesperson for the government addressed the media.
616,spokeswoman,n.,The company’s spokeswoman announced the launch of a new product.
617,sponsorship,n.,The sports team secured sponsorship from a major brand.
618,sporting,adj.,The sporting event attracted thousands of spectators.
619,stall,n.,She bought fresh fruit from a market stall.
620,stance,n.,The politician took a firm stance on climate change.
621,starve,v.,"Without food, the animals would starve within days."
622,steadily,adv.,Her health has been improving steadily over the past month.
623,steam,n.,Steam rose from the cup of hot tea.
624,stimulate,v.,Caffeine can stimulate brain activity and improve alertness.
625,strengthen,v.,Regular exercise helps strengthen muscles and bones.
626,strictly,adv.,Smoking is strictly prohibited in this area.
627,stroke,n.,He suffered a stroke and had to be hospitalized.
628,stunning,adj.,The sunset over the mountains was absolutely stunning.
629,subsequent,adj.,The subsequent investigation revealed more details about the case.
630,subsequently,adv.,He was arrested and subsequently charged with theft.
631,suburb,n.,They moved to a quiet suburb outside the city.
632,suffering,n.,The war caused immense suffering for the local people.
633,sufficient,adj.,We need sufficient funds to complete the project successfully.
634,sufficiently,adv.,The instructions were sufficiently clear for everyone to follow.
635,super,adj.,She was super excited about her upcoming vacation.
636,surgeon,n.,The surgeon performed a complex operation successfully.
637,survival,n.,Fresh water is essential for human survival in extreme conditions.
638,survivor,n.,Only a few survivors were found after the earthquake.
639,suspend,v.,The school decided to suspend the student for breaking the rules.
640,sustainable,adj.,Sustainable farming practices help protect the environment.
641,swallow,v.,He took a sip of water to help him swallow the pill.
642,sympathetic,adj.,She was very sympathetic and listened to my problems with concern.
643,tackle,v.,The team worked together to tackle the difficult project.
644,tag,n.,The price tag on the jacket showed a 50% discount.
645,tag,v.,She tagged her friend in a social media post.
646,tap,v.,He tapped the screen to unlock his phone.
647,tap,n.,She turned on the tap to fill the glass with water.
648,technological,adj.,Technological advancements have transformed the way we communicate.
649,teens,n.,A group of teens gathered at the park to play basketball.
650,temple,n.,They visited an ancient temple during their trip to Japan.
651,temporarily,adv.,The shop is temporarily closed for renovations.
652,tendency,n.,She has a tendency to talk quickly when she’s nervous.
653,tension,n.,There was a lot of tension in the room before the exam results were announced.
654,terminal,n.,We waited at the airport terminal for our flight to board.
655,terms,n.,They agreed to the terms of the contract before signing.
656,terribly,adv.,She felt terribly guilty for forgetting her friend's birthday.
657,terrify,v.,The horror movie terrified the audience.
658,territory,n.,Wild animals are very protective of their territory.
659,terror,n.,She screamed in terror when she saw the spider.
660,terrorism,n.,The government is taking strict measures to combat terrorism.
661,terrorist,n.,The authorities arrested a suspected terrorist near the border.
662,testing,n.,The new software is still in the testing phase before its release.
663,textbook,n.,She bought a new biology textbook for the semester.
664,theft,n.,He was arrested for theft after stealing a car.
665,therapist,n.,The therapist helped her manage her anxiety.
666,thesis,n.,He spent months writing his thesis for his master’s degree.
667,thorough,adj.,The detective conducted a thorough investigation of the case.
668,thoroughly,adv.,She cleaned the house thoroughly before the guests arrived.
669,thumb,n.,He accidentally cut his thumb while chopping vegetables.
670,timing,n.,The timing of the meeting was perfect for everyone’s schedule.
671,tissue,n.,She used a tissue to wipe her tears.
672,ton,n.,"The cargo ship can carry up to 50,000 tons of merchandise."
673,tonne,n.,They exported several tonnes of grain last year.
674,tournament,n.,He won first place in the chess tournament.
675,trace,v.,The police traced the call back to its origin.
676,trading,n.,The company specializes in international trading of goods.
677,tragedy,n.,The fire was a terrible tragedy that left many homeless.
678,tragic,adj.,It was a tragic accident that claimed several lives.
679,trait,n.,Honesty is an important trait in a good leader.
680,transmit,v.,The virus can be transmitted through close contact.
681,transportation,n.,Effective transportation systems are crucial for urban development.
682,trap,v.,They got trapped in the elevator when the power went out.
683,trap,n.,The hunters set a trap to catch the wild animal.
684,treasure,n.,The pirates searched for hidden treasure on the island.
685,tribe,n.,The tribe has preserved its unique traditions for centuries.
686,trigger,v.,Her allergy can be triggered by dust and pollen.
687,trillion,num.,The national debt has reached several trillion dollars.
688,troop,n.,The troop of soldiers marched through the city streets.
689,tsunami,n.,The tsunami caused massive destruction along the coastline.
690,ultimate,adj.,His ultimate goal is to become a world champion.
691,unacceptable,adj.,Her rude behavior was completely unacceptable at the meeting.
692,uncertainty,n.,There is a lot of uncertainty about the future of the economy.
693,undergo,v.,She had to undergo surgery after the accident.
694,undertake,v.,The company will undertake a new project to develop renewable energy.
695,unfold,v.,The mystery slowly unfolded as the story progressed.
696,unfortunate,adj.,It was unfortunate that the event had to be canceled due to rain.
697,unite,v.,The two countries decided to unite against a common threat.
698,unity,n.,The team played with great unity and cooperation.
699,universal,adj.,The desire for happiness is a universal human trait.
700,urgent,adj.,He received an urgent call from the hospital.
701,usage,n.,The correct usage of punctuation is important in writing.
702,useless,adj.,The remote control was useless because the batteries were dead.
703,valid,adj.,His passport is valid for another five years.
704,variation,n.,There is a lot of variation in temperatures between summer and winter.
705,vertical,adj.,They climbed a steep vertical rock wall during their hike.
706,viewpoint,n.,Everyone in the discussion had a different viewpoint on the issue.
707,visa,n.,He applied for a tourist visa to visit the United States.
708,visible,adj.,The moon was clearly visible in the night sky.
709,voluntary,adj.,She does voluntary work at the local animal shelter.
710,voting,n.,Voting is an important right in a democratic society.
711,wander,v.,She likes to wander through the forest on quiet mornings.
712,warming,n.,Global warming is a major environmental concern.
713,weekly,adj.,She attends a weekly yoga class at the gym.
714,weird,adj.,He had a weird feeling that someone was watching him.
715,welfare,n.,The government provides welfare programs to support low-income families.
716,wheat,n.,Wheat is one of the most widely grown crops in the world.
717,whoever,pron.,Whoever arrives first will get the best seat.
718,widespread,adj.,The disease caused widespread panic in the community.
719,wisdom,n.,The old man shared his wisdom with the younger generation.
720,withdraw,v.,She decided to withdraw from the competition due to an injury.
721,workforce,n.,The company has a diverse and skilled workforce.
722,workplace,n.,She maintains a positive attitude in the workplace.
723,workshop,n.,The workshop focused on improving communication skills.
724,worm,n.,The farmer found a worm in the freshly dug soil.
725,wrist,n.,She wore a gold watch on her wrist.
